rank,player_name,player_id,team,position,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,sim_salary_std,sim_mean_score,fmv_band,projected_games,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,ft_pct,three_pt_pct,fta,fantasy_points,ceiling,floor,consistency,fga,fgm,tpa,tpm,ftm,usage_rate
69,Darius Garland,1629636,LAC,PG,19647368.08,19613505.72,19229554.55,19997456.9,613255.57,10.0458,starter,55,31.8,18.3,3.3,5.9,1.2,0.2,2.6,0.456,0.841,0.383,3.3,32.7,50.6,16.0,69,14.5,6.6,5.9,2.3,2.8,0.5
70,Quentin Grimes,1629656,PHI,PG,19426521.5,19421530.14,19037578.97,19997456.9,671676.57,9.8891,starter,69,29.3,14.3,3.8,3.5,1.0,0.3,1.8,0.447,0.812,0.357,3.1,26.2,40.9,12.4,58,11.2,5.0,4.9,1.8,2.5,0.5
71,Jerami Grant,203924,POR,SF,19319975.05,19421530.14,18845603.38,19805481.31,690182.51,9.8179,starter,60,31.8,17.2,4.7,2.6,0.9,0.7,1.9,0.449,0.81,0.38,4.6,29.7,47.2,13.6,70,13.0,5.8,4.9,1.8,3.7,0.5
72,Jaime Jaquez Jr.,1631170,MIA,PG,19156795.8,19229554.55,18653627.79,19613505.72,664617.12,9.6974,starter,70,28.8,14.3,4.4,4.0,1.0,0.3,1.9,0.472,0.795,0.345,3.0,27.5,42.9,13.0,64,11.4,5.4,3.2,1.1,2.4,0.5
73,Keyonte George,1641718,UTA,PG,18946673.19,19037578.97,18461652.21,19421530.14,716492.99,9.5634,starter,60,32.1,18.4,3.8,5.4,1.0,0.3,2.6,0.436,0.846,0.356,4.7,32.2,49.6,15.6,59,14.1,6.2,5.8,2.1,4.0,0.5
74,P.J. Washington,1629023,DAL,SF,18722930.98,18653627.79,18269676.62,19229554.55,750393.23,9.4204,starter,60,32.0,15.1,6.9,2.3,1.0,0.9,1.8,0.457,0.737,0.345,3.5,30.8,47.8,15.4,67,12.2,5.6,4.0,1.4,2.6,0.5
75,Grayson Allen,1628960,PHX,PG,18707764.91,18653627.79,18269676.62,19229554.55,718934.5,9.4164,starter,58,30.3,15.1,3.5,3.8,1.1,0.3,1.7,0.438,0.841,0.381,3.0,27.7,43.3,13.1,66,11.7,5.1,6.3,2.4,2.5,0.5
76,Rui Hachimura,1629060,LAL,SF,18680978.98,18653627.79,18269676.62,19229554.55,709614.13,9.3894,starter,67,30.8,14.2,5.1,1.8,0.8,0.5,1.2,0.496,0.764,0.405,2.6,25.6,39.1,12.9,69,10.8,5.4,3.7,1.5,2.0,0.5
77,Tyler Herro,1629639,MIA,PG,18179117.47,18269676.62,17693749.86,18653627.79,743396.11,9.0873,starter,49,33.0,19.6,4.7,4.7,1.0,0.3,2.2,0.461,0.859,0.376,3.6,33.9,52.4,16.6,75,15.3,7.1,6.3,2.4,3.1,0.5
78,Cameron Johnson,1629661,DEN,SF,18033914.6,18077701.03,17501774.28,18461652.21,750305.12,8.9999,starter,59,31.2,15.0,5.0,2.8,0.9,0.5,1.4,0.469,0.818,0.394,3.1,27.8,43.5,13.4,69,11.3,5.3,4.8,1.9,2.5,0.5
79,Norman Powell,1626181,MIA,PG,17939078.66,17885725.45,17501774.28,18461652.21,752753.74,8.9288,starter,61,30.9,18.6,3.4,3.2,1.1,0.3,1.8,0.466,0.826,0.393,4.1,29.6,46.9,13.6,71,13.8,6.4,6.0,2.3,3.4,0.5
80,Franz Wagner,1630532,ORL,SF,17908394.57,17885725.45,17501774.28,18461652.21,740906.95,8.9158,starter,51,32.4,19.6,5.9,3.5,1.1,0.5,2.0,0.472,0.814,0.327,4.9,34.8,54.7,16.2,69,15.1,7.1,4.2,1.4,4.0,0.5
81,Saddiq Bey,1630180,NOP,SG,17403392.12,17501774.28,16925847.52,17885725.45,727843.82,8.5915,starter,70,32.4,16.7,5.1,3.3,1.0,0.2,1.4,0.445,0.835,0.355,3.8,30.0,46.8,14.4,65,13.1,5.8,5.4,1.9,3.2,0.5
82,Jimmy Butler III,202710,GSW,SF,17300306.56,17309798.69,16925847.52,17693749.86,677381.47,8.5256,starter,49,32.1,17.9,6.0,4.4,1.2,0.4,1.8,0.494,0.838,0.367,6.0,34.8,55.7,15.3,75,12.1,6.0,2.5,0.9,5.1,0.5
83,Devin Vassell,1630170,SAS,SG,17029210.37,17117823.1,16541896.34,17501774.28,663324.18,8.3096,starter,66,31.9,16.2,4.0,3.6,1.1,0.4,1.6,0.448,0.811,0.373,2.8,29.3,45.7,13.8,70,13.1,5.9,5.7,2.1,2.3,0.5
84,Shaedon Sharpe,1631101,POR,PG,16959864.52,16925847.52,16465906.01,17501774.28,653888.2,8.2241,starter,56,31.7,18.1,4.4,3.7,1.2,0.3,2.5,0.446,0.796,0.339,3.7,30.9,47.7,15.0,65,14.9,6.7,5.4,1.8,3.0,0.5
85,Peyton Watson,1631212,DEN,PG,16928513.84,16925847.52,16349920.76,17501774.28,674707.63,8.2227,starter,60,28.8,13.5,4.1,2.9,1.0,0.8,1.7,0.465,0.763,0.373,3.1,26.7,41.4,12.7,53,10.6,4.9,3.5,1.3,2.4,0.5
86,LaMelo Ball,1630163,CHA,PG,16877741.63,16925847.52,16349920.76,17464445.69,662007.78,8.0443,starter,56,26.3,16.2,3.9,5.2,1.1,0.2,2.3,0.416,0.845,0.356,2.8,30.4,56.3,7.5,76,13.7,5.7,7.0,2.5,2.3,0.4
87,Paul George,202331,PHI,SF,16860757.13,16925847.52,16349920.76,17309798.69,650446.04,8.099,starter,48,32.1,16.9,5.8,3.6,1.4,0.5,2.0,0.454,0.816,0.383,3.3,33.2,51.6,16.3,71,13.4,6.1,5.4,2.1,2.7,0.4
88,Christian Braun,1631128,DEN,PG,16857088.26,16925847.52,16349920.76,17309798.69,640831.03,8.0514,starter,59,31.3,14.0,4.5,3.3,1.0,0.4,1.5,0.489,0.799,0.353,2.9,26.9,41.4,13.1,63,10.7,5.2,3.6,1.3,2.3,0.5
89,Ivica Zubac,1627826,IND,C,16809291.67,16824527.07,16344588.1,17309798.69,648596.06,7.8903,starter,57,31.2,15.5,10.6,2.5,0.6,1.2,1.8,0.572,0.726,0.359,3.6,35.5,53.5,18.2,73,11.1,6.4,0.6,0.2,2.6,0.5
90,Brook Lopez,201572,LAC,C,16795661.41,16824527.07,16184608.45,17304466.03,642256.24,7.7337,starter,72,24.6,9.4,4.9,1.4,0.6,1.3,1.0,0.466,0.75,0.366,1.5,22.2,38.7,6.1,65,7.6,3.5,3.2,1.2,1.2,0.4
91,Anthony Black,1641710,ORL,PG,16794504.22,16824527.07,16184608.45,17309798.69,649207.72,7.7623,starter,66,28.7,13.5,3.6,3.8,1.2,0.5,2.0,0.445,0.762,0.346,3.2,26.7,41.2,12.9,55,11.0,4.9,3.8,1.3,2.4,0.5
92,Wendell Carter Jr.,1628976,ORL,PF,16794034.95,16824527.07,16184608.45,17309798.69,658046.16,7.6089,starter,70,29.6,13.3,8.3,2.3,0.8,0.9,1.6,0.508,0.738,0.318,3.7,30.1,46.1,15.0,73,9.7,4.9,2.2,0.7,2.7,0.5
