player_name,player_id,team,position,sim_mean_salary,sim_median_salary,sim_p25_salary,sim_p75_salary,sim_salary_std,sim_mean_score,fmv_band
Zach Edey,1641744,MEM,C,12265909.46,12307768.14,11667849.52,12819703.03,815052.41,2.9736,starter
Myles Turner,1626167,MIL,PF,12214033.39,12179784.41,11667849.52,12819703.03,795810.89,2.9434,starter
Kyle Filipowski,1642271,UTA,C,12195870.37,12179784.41,11539865.79,12691719.31,802145.56,2.9269,starter
Nic Claxton,1629651,BKN,C,12160800.16,12179784.41,11539865.79,12691719.31,802709.47,2.9212,starter
Bub Carrington,1642267,WAS,PG,11996842.35,11923816.97,11411882.07,12563735.59,790633.72,2.8162,rotation
Maxime Raynaud,1642875,SAC,C,11934927.55,11923816.97,11411882.07,12449083.5,768118.88,2.7583,rotation
Grant Williams,1629684,CHA,SF,11741056.21,11777168.95,11155914.62,12307768.14,741922.4,2.5926,rotation
Julian Reese,1642882,WAS,SF,11726911.34,11667849.52,11155914.62,12225111.98,712999.89,2.5917,rotation
Jeremiah Fears,1642847,NOP,PG,11705634.05,11667849.52,11143249.56,12225111.98,734404.98,2.5814,rotation
Reed Sheppard,1642263,HOU,PG,11509925.6,11441211.67,11019265.34,12051800.69,666356.77,2.3248,rotation
De'Anthony Melton,1629001,GSW,PG,11492925.1,11539865.79,10969938.27,12001140.47,665795.03,2.269,rotation
Cormac Ryan,1642504,MIL,PG,11476911.13,11411882.07,11019265.34,12001140.47,632222.09,2.2993,rotation
Cedric Coward,1642907,MEM,PG,11403941.75,11411882.07,10881282.88,12001140.47,691169.96,2.098,rotation
Trae Young,1629027,WAS,PG,11389735.55,11441211.67,10881282.88,12001140.47,711339.02,2.0235,rotation
Klay Thompson,202691,DAL,PG,11379166.23,11411882.07,10881282.88,12001140.47,709969.35,1.962,rotation
Malik Monk,1628370,SAC,PG,11340909.76,11411882.07,10771963.45,12001140.47,708012.12,1.9462,rotation
Aaron Nesmith,1630174,IND,SG,11314566.44,11329225.91,10771963.45,11889154.71,703062.92,1.9204,rotation
Deandre Ayton,1629028,LAL,C,11305372.95,11329225.91,10771963.45,11889154.71,719355.78,1.9248,rotation
Scotty Pippen Jr.,1630590,MEM,PG,11303415.86,11329225.91,10771963.45,11943147.85,742172.19,1.9166,rotation
Jalen Green,1630224,PHX,PG,11266215.26,11250569.25,10769297.12,11889154.71,770588.08,1.829,rotation
Scoot Henderson,1630703,POR,PG,11172869.8,11217240.16,10643979.72,11777168.95,779353.48,1.776,rotation
Dylan Harper,1642844,SAS,PG,11126521.03,11105254.4,10626648.59,11777168.95,771776.54,1.7394,rotation
Ace Bailey,1642846,UTA,SF,11075191.55,11105254.4,10515996.0,11777168.95,817813.67,1.665,rotation
Luke Kennard,1628379,LAL,PG,11064814.21,11027930.9,10515996.0,11777168.95,815925.12,1.6718,rotation
Cam Thomas,1630560,MIL,PG,11033823.48,10993268.64,10515996.0,11667849.52,823647.4,1.6573,rotation
John Collins,1628381,LAC,PF,10938014.33,10993268.64,10382679.62,11553197.43,820372.12,1.5857,rotation
Bez Mbeng,1643016,UTA,PG,10898837.98,10881282.88,10382679.62,11465875.2,810004.72,1.5437,rotation
Cason Wallace,1641717,OKC,PG,10837611.1,10769297.12,10209368.33,11553197.43,853025.34,1.5063,rotation
Keldon Johnson,1629640,SAS,SG,10701951.02,10657311.36,10094716.24,11329225.91,855084.68,1.4201,rotation
Kennedy Chandler,1631113,UTA,PG,10687235.56,10657311.36,10094716.24,11329225.91,871278.27,1.4088,rotation
Jonathan Kuminga,1630228,ATL,SF,10628976.3,10545325.6,9985396.81,11329225.91,888069.24,1.3785,rotation
Sam Hauser,1630573,BOS,SF,10614034.2,10545325.6,9985396.81,11217240.16,853629.72,1.3692,rotation
Malachi Smith,1641869,BKN,PG,10580545.12,10530660.8,9873411.05,11217240.16,880623.32,1.3552,rotation
Tristan da Silva,1641783,ORL,SF,10570583.72,10545325.6,9985396.81,11105254.4,849086.16,1.3372,rotation
Jaden Ivey,1631093,CHI,PG,10516939.88,10478667.41,9902740.66,11105254.4,832194.67,1.3177,rotation
Kris Dunn,1627739,LAC,PG,10396181.9,10321354.09,9761425.29,10881282.88,792403.88,1.2263,rotation
Miles McBride,1630540,NYK,PG,10299314.22,10286691.83,9649439.53,10771963.45,850631.7,1.1815,rotation
Javon Small,1642914,MEM,PG,10269478.02,10209368.33,9649439.53,10670643.0,801853.45,1.1403,rotation
Dennis Schröder,203471,CLE,PG,10235031.73,10200036.18,9649439.53,10670643.0,815701.15,1.1042,rotation
D'Angelo Russell,1626156,DAL,PG,10210813.48,10190704.03,9649439.53,10670643.0,832139.49,1.1023,rotation
Ryan Kalkbrenner,1641750,CHA,C,10062080.39,10094716.24,9518789.48,10574655.21,825527.74,0.9931,rotation
Taurean Prince,1627752,MIL,SF,10010119.0,9998728.45,9518789.48,10478667.41,802381.96,0.9678,rotation
Luguentz Dort,1629652,OKC,PG,9895373.59,9902740.66,9425468.02,10382679.62,754392.15,0.8928,rotation
Tari Eason,1631106,HOU,SF,9884412.32,9902740.66,9422801.69,10382679.62,772644.81,0.8848,rotation
Aaron Gordon,203932,DEN,SF,9884404.32,9873411.05,9326813.9,10382679.62,797373.09,0.8844,rotation
Jusuf Nurkić,203994,UTA,C,9875674.76,9902740.66,9326813.9,10382679.62,801054.49,0.8729,rotation
T.J. McConnell,204456,IND,PG,9862260.47,9902740.66,9326813.9,10433339.84,800487.84,0.8717,rotation
Jaylen Wells,1642377,MEM,SF,9800481.66,9806752.86,9326813.9,10286691.83,787783.68,0.8285,rotation
Bilal Coulibaly,1641731,WAS,PG,9794695.73,9806752.86,9326813.9,10336685.47,797068.38,0.8156,rotation
Santi Aldama,1630583,MEM,PF,9791362.82,9806752.86,9313482.26,10321354.09,778400.69,0.8187,rotation
Sion James,1642883,CHA,PG,9704053.92,9710765.07,9230826.1,10286691.83,775294.15,0.7531,rotation
Sam Merrill,1630241,CLE,PG,9578885.84,9614777.28,9038850.52,10190704.03,853211.32,0.672,rotation
Isaiah Hartenstein,1628392,OKC,PF,9456181.44,9518789.48,8846874.93,10094716.24,833495.81,0.6024,rotation
Khris Middleton,203114,DAL,SF,9436096.0,9518789.48,8846874.93,9998728.45,809732.63,0.5992,rotation
Marvin Bagley III,1628963,DAL,SF,9430832.67,9518789.48,8812212.67,10094716.24,851829.36,0.5854,rotation
Dejounte Murray,1627749,NOP,PG,9400628.51,9422801.69,8812212.67,9998728.45,827740.9,0.5533,rotation
Ajay Mitchell,1642349,OKC,PG,9364281.13,9422801.69,8750887.14,9998728.45,799944.43,0.541,rotation
Mark Williams,1631109,PHX,C,9343897.06,9326813.9,8732222.84,9998728.45,862430.38,0.5301,rotation
DeJon Jarreau,1630610,MEM,PG,9253415.23,9230826.1,8652233.02,9902740.66,834236.52,0.4654,rotation
Leaky Black,1641778,WAS,SF,9236382.73,9230826.1,8572243.19,9902740.66,857604.38,0.4621,rotation
Caris LeVert,1627747,DET,PG,9076605.72,9038850.52,8462923.76,9710765.07,841129.27,0.3673,rotation
Daniel Gafford,1629655,DAL,PF,9074803.28,9038850.52,8462923.76,9710765.07,895333.79,0.3669,rotation
Alex Sarr,1642259,WAS,C,8984574.75,8846874.93,8366935.97,9614777.28,853216.89,0.3162,rotation
Jake LaRavia,1631222,LAL,SF,8976021.17,8942862.72,8332273.71,9649439.53,893922.28,0.3196,rotation
Isaiah Jackson,1630543,LAC,SF,8921852.06,8812212.67,8332273.71,9518789.48,877656.12,0.2814,rotation
Day'Ron Sharpe,1630549,BKN,C,8886739.19,8812212.67,8270948.17,9518789.48,869244.57,0.2596,rotation
Tyler Burton,1631174,MEM,SF,8778712.93,8732222.84,8174960.38,9326813.9,881233.06,0.1969,rotation
Kentavious Caldwell-Pope,203484,MEM,PG,8729993.79,8654899.34,8174960.38,9326813.9,848652.62,0.1648,rotation
Isaiah Joe,1630198,OKC,PG,8608289.27,8572243.19,8078972.59,9201496.5,864931.43,0.0988,rotation
Mike Conley,201144,MIN,PG,8553309.6,8558911.55,8078972.59,9038850.52,846916.99,0.0828,rotation
Zaccharie Risacher,1642258,ATL,SF,8532613.56,8492253.36,8012314.4,9134838.31,887436.44,0.0639,rotation
Daniss Jenkins,1642450,DET,PG,8459094.91,8462923.76,7970319.74,8942862.72,901326.7,0.0148,rotation
Vít Krejčí,1630249,POR,PG,8401619.55,8412263.53,7932324.57,8846874.93,866104.06,-0.0002,rotation
Micah Potter,1630695,IND,C,8347274.47,8412263.53,7886997.0,8846874.93,896000.48,-0.0478,rotation
Jordan Poole,1629673,NOP,PG,8334468.09,8332273.71,7852334.74,8846874.93,876523.97,-0.0504,rotation
GG Jackson,1641713,MEM,SF,8320792.5,8366935.97,7886997.0,8812212.67,890379.61,-0.0592,rotation
John Poulakidas,1642967,DAL,PG,8210590.51,8270948.17,7692355.09,8732222.84,896470.99,-0.1224,rotation
Kristaps Porziņģis,204001,GSW,PF,8154624.3,8252283.88,7612365.26,8732222.84,890564.5,-0.1437,rotation
Tre Johnson,1642848,WAS,PG,8131328.59,8252283.88,7532375.43,8654899.34,930490.03,-0.162,rotation
Bogdan Bogdanović,203992,LAC,PG,8047352.61,8092304.22,7372395.78,8652233.02,944956.75,-0.201,rotation
Buddy Hield,1627741,ATL,PG,7899806.04,8078972.59,7292405.95,8558911.55,940702.45,-0.2809,rotation
Alex Caruso,1627936,OKC,PG,7874238.62,7982984.79,7132426.29,8492253.36,944432.04,-0.2795,rotation
Jamal Shead,1642347,TOR,PG,7857587.41,7932324.57,7192418.66,8492253.36,948461.95,-0.3063,rotation
Al Horford,201143,GSW,PF,7855731.64,8012314.4,7113762.0,8492253.36,983822.95,-0.3039,rotation
Derrick Jones Jr.,1627884,LAC,SF,7840890.86,7982984.79,7098430.62,8492253.36,964305.82,-0.2947,rotation
Oso Ighodaro,1642345,PHX,SF,7776539.05,7932324.57,7049770.14,8492253.36,951957.39,-0.3448,rotation
Jaylin Williams,1631119,OKC,SF,7743985.85,7886997.0,6985778.28,8412263.53,948466.81,-0.359,rotation
Moses Moody,1630541,GSW,PG,7548909.33,7532375.43,6892456.81,8252283.88,918865.87,-0.4596,rotation
Quinten Post,1642366,GSW,C,7371811.85,7292405.95,6732477.16,8112301.68,980697.16,-0.5338,rotation
Patrick Williams,1630172,CHI,SF,7338168.13,7212416.12,6732477.16,8092304.22,1018193.17,-0.5495,rotation
Keon Ellis,1631165,CLE,PG,7317688.07,7292405.95,6729810.83,8092304.22,1011989.14,-0.5579,rotation
Jarace Walker,1641716,IND,SF,7317288.12,7212416.12,6731810.58,8078972.59,985663.51,-0.5588,rotation
Walter Clayton Jr.,1642383,MEM,PG,7298706.48,7212416.12,6665818.97,8092304.22,1005197.57,-0.5628,rotation
Jalen Slawson,1641771,IND,SF,7297090.69,7212416.12,6729810.83,8078972.59,1011450.67,-0.5717,rotation
Ronald Holland II,1641842,DET,SF,7281865.96,7132426.29,6652487.33,8078972.59,1022547.85,-0.574,rotation
Jamir Watkins,1642364,WAS,SF,7218572.67,7132426.29,6652487.33,7982984.79,994094.68,-0.601,rotation
Will Riley,1642860,WAS,SF,7184600.99,7113762.0,6601827.1,7982984.79,1055133.66,-0.6124,rotation
Lonzo Ball,1628366,CLE,PG,7142243.71,7052436.47,6572497.5,7982984.79,1033696.55,-0.6422,rotation
Taylor Hendricks,1641707,MEM,SF,7114193.95,7052436.47,6563831.94,7932324.57,1042274.17,-0.6486,rotation
Jordan Clarkson,203903,NYK,PG,7064634.91,6985778.28,6473843.38,7886997.0,1037531.48,-0.6712,rotation
Collin Murray-Boyles,1642867,TOR,SF,7062016.58,7017774.21,6572497.5,7772344.91,1006456.72,-0.6771,rotation
Aaron Wiggins,1630598,OKC,PG,6967900.55,6972446.64,6409851.52,7692355.09,1056652.23,-0.7216,rotation
Jordan Goodwin,1630692,PHX,PG,6898717.35,6907121.61,6345859.66,7532375.43,1001242.13,-0.7457,rotation
Brice Sensabaugh,1641729,UTA,SF,6883532.61,6892456.81,6281867.79,7612365.26,1044798.32,-0.7578,rotation
